Solitude,Park City,Alta,Brighton,Sundance
10001.0,1.0,1.0,10001.0,0.0
0.0,2.0,2.0,10002.0,0.0
0.0,3.0,0.0,10003.0,0.0
0.0,4.0,0.0,10004.0,0.0
0.0,5.0,0.0,10005.0,0.0
0.0,6.0,0.0,10006.0,0.0
0.0,7.0,1.0,10007.0,0.0
0.0,8.0,2.0,10008.0,0.0
0.0,9.0,3.0,10009.0,0.0
1.0,10.0,4.0,10010.0,0.0
2.0,11.0,5.0,10011.0,0.0
3.0,12.0,6.0,10012.0,0.0
4.0,13.0,7.0,10013.0,0.0
5.0,14.0,8.0,10014.0,0.0
6.0,15.0,9.0,10015.0,0.0
7.0,16.0,10.0,10016.0,0.0
8.0,17.0,11.0,10017.0,0.0
9.0,18.0,12.0,10018.0,0.0
10.0,19.0,13.0,10019.0,0.0
11.0,20.0,14.0,10020.0,0.0
12.0,21.0,15.0,10021.0,0.0
13.0,22.0,16.0,10022.0,0.0
14.0,23.0,17.0,10023.0,0.0
0.0,24.0,18.0,10024.0,0.0
