Solitude,Park City,Alta,Brighton,Sundance
1.0,1.0,1.0,1.0,-0.0
0.0,1.0,1.0,1.0,0.0
0.0,1.0,-0.0,1.0,0.0
0.0,1.0,-0.0,1.0,-0.0
-0.0,1.0,-0.0,1.0,0.0
0.0,0.999999999999999,-0.0,1.0,0.0
0.0,1.0,1.0,1.0,0.0
-0.0,1.0,1.0,1.0,-0.0
0.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,-0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,-0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,-0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,-0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,-0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,-0.0
1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,0.0
